tambaysapayag,2017-09-05 23:49,0,0,Awit sa Marawi [Esang] Keziah version ... http://,"(['mahaplag', ' leyte', ' philippines'], Location((10.58255, 124.988459133, 0.0)))",,#Buwanngwika2017 #buwanngwika #wikangmapagbago #wikangpbansa #presentasyon,905095578203209728,https://twitter.com/tambaysapayag/status/905095578203209728,uz
TVPatrol,2017-09-05 7:30,1,22,"Mga kawani ng Marawi city hall, balik-trabaho para sa rehabilitasyon ng lungsod","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904849057247485952,https://twitter.com/TVPatrol/status/904849057247485952,fil
smninewschannel,2017-09-05 7:26,0,0,Temporary shelters na itatayo sa Marawi hindi substandard UsapingBayan SmniNewshttp://,"(['ACQ Tower', ' Makati City'], Location((14.5608377, 121.042507237, 0.0)))",,# #,904848048433520640,https://twitter.com/smninewschannel/status/904848048433520640,fil
Mitowantiase,2017-09-05 7:18,0,0,"Kebiadaban di Marawi Filipina oleh ISIS & Abu Sayyaf ? Gempuran Arab Saudi ke Yaman, diem aja ??",,,,904846162158428161,https://twitter.com/Mitowantiase/status/904846162158428161,ms
dzbb,2017-09-05 7:16,0,0,"Abdullah Maute, napatay umano sa airstrike sa Marawi City, ayon sa militar. SuperBalitaSaUmagaNationwide","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,904845763150209025,https://twitter.com/dzbb/status/904845763150209025,fil
ken_carls1107,2017-09-05 7:14,0,0,"Pulbusin ang Marawi, este Maute pla. Ganyan pla kyo mgsagawa ng operasyon TeamAFP","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",@,,904845104375930882,https://twitter.com/ken_carls1107/status/904845104375930882,fil
Mitowantiase,2017-09-05 7:13,0,0,"Punya hati ? Korban ISIS & Abu Sayyaf di Marawi, Filipina + Gempuran Saudi ke Yaman, dibiarin ??",,,,904844988596404225,https://twitter.com/Mitowantiase/status/904844988596404225,id
BrigadaOfficial,2017-09-05 7:12,0,0,"Last push' sa Marawi crisis, nakakabahala sa hostages' GENERAL SANTOS CITY - Nagiging mapanganib na umano ang... d","(['Gen. Santos City'], Location((14.6207049, 121.0515971, 0.0)))",,,904844686434566145,https://twitter.com/BrigadaOfficial/status/904844686434566145,fil
BUsison,2017-09-05 7:11,0,0,DAPAT IPADALA SA MARAWI ANG PUMATAY KINA KIAN & CARL ! JusticeForCarl,"(['ph \xe2\x80\xa2 jpn \xe2\x80\xa2 V'], Location((5.3651322, 100.4602898, 0.0)))",,#,904844367537381377,https://twitter.com/BUsison/status/904844367537381377,fil
GeronimoFM,2017-09-05 7:10,0,1,"GMY TODAY'S HEADLINE: Perangi ISIS di Marawi, Duterte akan Ajak Indonesia dan Malaysia (via: )","(['Jalan Gayam No. 24', ' Yogyakarta'], Location((-7.7973674, 110.379125, 0.0)))",,#,904844041979695104,https://twitter.com/GeronimoFM/status/904844041979695104,id
B3RNARD1980,2017-09-05 7:02,0,1,"dzbb joelzobel final push daw? Wag sabihin, gawin nila. Wag extend ng extend, di naman computer shop yang gulo sa Marawi.","(['Cainta', ' Rizal', ' Philippines'], Location((14.5925129, 121.123530488, 0.0)))",@ @,,904842057058983936,https://twitter.com/B3RNARD1980/status/904842057058983936,fil
dwiz882,2017-09-05 7:00,0,0,"IZHeadlines Militar, nagbigay na ng ultimatum sa mga natitirang terorista sa Marawi City","(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,#,904841533165146112,https://twitter.com/dwiz882/status/904841533165146112,fil
marawi_q8,2017-09-05 6:59,10,23,ابوي رباني على زين طبعه وامي بذرب اسلوبها دلعتني واخوي علمني على العز خبرهه وانا على نهج الفخر( زان ) طبعي,,,,904841259164078080,https://twitter.com/marawi_q8/status/904841259164078080,ar
marawi_q8,2017-09-05 6:57,5,7,قالوا علامكك رافعه الراس ونشوفكك قويه قل العفو كلنا بشر بس انا بنت الكاف انه_باك,,,#,904840764215238659,https://twitter.com/marawi_q8/status/904840764215238659,ar
kharen_m,2017-09-05 6:49,0,1,Mga taga Caloocan sinonman mayor jan dpat palipat lahat ng kapulisan jan ilipat sa marawi tapos mga sundalo sila magbantay sa caloocan hehe,"(['cavite'], Location((14.25, 120.833333, 0.0)))",,,904838842020093953,https://twitter.com/kharen_m/status/904838842020093953,fil
jctajores,2017-09-05 6:48,0,0,Sa marawi hahaha sulong lang,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,904838728534810624,https://twitter.com/jctajores/status/904838728534810624,fil
Citra_Icikiwir,2017-09-05 6:41,0,0,"Perangi ISIS di Marawi, Duterte akan Ajak Indonesia dan Malaysia","(['Jombang Jawa Timur'], Location((-7.5419994, 112.226627398, 0.0)))",,,904836755634905088,https://twitter.com/Citra_Icikiwir/status/904836755634905088,ms
haroldclavite,2017-09-05 6:37,0,0,"Yung pera galing sa malong, napapambili ko ng gatas at diaper ng anak ko."" Read more: womenpower Marawi ""","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,# # #,904835938244628480,https://twitter.com/haroldclavite/status/904835938244628480,fil
xxmelohjay,2017-09-05 6:28,0,0,Klasi na gyud — traveling to Mindanao State University Main Campus (Marawi),,,,904833528826757120,https://twitter.com/xxmelohjay/status/904833528826757120,fil
GEMAWAHYUH,2017-09-05 6:25,0,0,"info - Perangi ISIS di Marawi, Duterte akan Ajak Indonesia dan Malaysia","(['Pagaden - Subang'], Location((-6.4561464, 107.79642, 0.0)))",@,,904832713110290432,https://twitter.com/GEMAWAHYUH/status/904832713110290432,id
pm_magazin,2017-09-05 6:19,0,0,Marawi – Islamisten geben nicht auf,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904831374703636482,https://twitter.com/pm_magazin/status/904831374703636482,de
Annddrrreeeii,2017-09-05 6:12,0,0,Nasa marawi ata si gov HAHA,,,,904829617592078336,https://twitter.com/Annddrrreeeii/status/904829617592078336,fil
windakusumaning,2017-09-05 6:09,0,0,"Perangi ISIS di Marawi, Duterte akan Ajak Indonesia dan Malaysia C","(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,904828709051351040,https://twitter.com/windakusumaning/status/904828709051351040,ms
vcaVQtfUwWPv9ce,2017-09-05 6:03,0,0,كيوت,"(['\xd8\xa8\xd8\xba\xd8\xaf\xd8\xa7\xd8\xaf'], Location((33.3024309, 44.3787992, 0.0)))",,,904827300121804800,https://twitter.com/vcaVQtfUwWPv9ce/status/904827300121804800,ar
vcaVQtfUwWPv9ce,2017-09-05 6:02,0,0,صباحك سكر,"(['\xd8\xa8\xd8\xba\xd8\xaf\xd8\xa7\xd8\xaf'], Location((33.3024309, 44.3787992, 0.0)))",,,904826950300180483,https://twitter.com/vcaVQtfUwWPv9ce/status/904826950300180483,ar
mjk_zielinski,2017-09-05 6:00,0,2,Mega thread o obecnej sytuacji w Marawi via SaladinAlDronni Ciężko o lepszego specjalistę od Daish wiele inf z pierwszej ręki. Warto.,"(['Krak\xc3\xb3w'], Location((50.0619474, 19.9368564, 0.0)))",@,# #,904826482735927296,https://twitter.com/mjk_zielinski/status/904826482735927296,pl
Luapwasthere,2017-09-05 5:59,0,0,"Bloodletting activity, isinagawa para sa mga sugatang tropa ng pamahalaan at residente sa Marawi City | Radyo La...",,,,904826286605864960,https://twitter.com/Luapwasthere/status/904826286605864960,fil
softestmochie,2017-09-05 5:59,0,0,"detikcom: Perangi ISIS di Marawi, Duterte akan Ajak Indonesia dan Malaysia",,,,904826179001167876,https://twitter.com/softestmochie/status/904826179001167876,id
aldousokyrefaa1,2017-09-05 5:58,0,0,مالها مامتك 1000 سلامة عليها,"(['\xd9\x85\xd8\xb5\xd8\xb1/\xd8\xa7\xd9\x84\xd8\xa7\xd9\x82\xd8\xb5\xd8\xb1/\xd8\xa7\xd8\xb3\xd9\x88\xd8\xa7\xd9\x86/'], Location((24.0875, 32.898889, 0.0)))",,,904826061686538240,https://twitter.com/aldousokyrefaa1/status/904826061686538240,ar
kthygbts,2017-09-05 5:55,0,0,"Perangi ISIS di Marawi, Duterte akan Ajak Indonesia dan Malaysia 9",,,,904825181436338176,https://twitter.com/kthygbts/status/904825181436338176,ms
marawi_q8,2017-09-05 5:48,2,3,ماماتي,,,,904823448698064896,https://twitter.com/marawi_q8/status/904823448698064896,ar
jovelyn_n,2017-09-05 5:35,0,0,"TV Patrol: Mga kawani ng Marawi city hall, balik-trabaho para sa rehabilitasyon ng lungsod",,,,904820113479790592,https://twitter.com/jovelyn_n/status/904820113479790592,fil
JMhayrarahusop,2017-09-05 5:33,0,9,:umie maganda din print ng shirt namin? :oo pero mas maganda pag mag dugtong na IN MARAWI. Para we conquer battle in marawi. Aww k!,"(['Earth'], Location((34.2331373, -102.4107493, 0.0)))",,,904819854204477440,https://twitter.com/JMhayrarahusop/status/904819854204477440,fil
jheffdeleon,2017-09-05 5:18,0,0,"I added a video to a YouTube playlist Songs for Heroes 3 benefit concert para sa mga sundalo sa Marawi City,",,@,,904815924850692097,https://twitter.com/jheffdeleon/status/904815924850692097,fil
Philippinefails,2017-09-05 5:09,0,0,Marawi is a stalemate MochaUson PinoyAkoBlog lianbuan pinoynewsonline teddyboylocsin,,@ @ @ @ @ @,,904813777924661248,https://twitter.com/Philippinefails/status/904813777924661248,ceb
joaquinbuln1985,2017-09-05 5:00,0,0,Cierzo_bardener Mas preocupante es su expansion en el sudeste asiatico ya que el isis nuevamente retomo Marawi matando 80 militares.,,@,,904811379269435393,https://twitter.com/joaquinbuln1985/status/904811379269435393,es
gmanewsfacebook,2017-09-05 5:00,0,0,"Kasama ang Kapuso Mo, Jessica Soho (One at Heart, Jessica Soho), bumalik sa kaniyang bayan sa Marawi ang ina ni...",,,,904811328677617665,https://twitter.com/gmanewsfacebook/status/904811328677617665,fil
marawi_93,2017-09-05 4:54,2,4,كُل مر .. سيمر,"(['Muscat', ' Oman'], Location((18.3717337, -72.2862809, 0.0)))",,,904809953856184320,https://twitter.com/marawi_93/status/904809953856184320,ar
Juscopojun,2017-09-05 4:35,0,0,"Balita ko lahat daw ng paasa ipapatapon sa marawi, ingat ka ha.",,,,904805080242651136,https://twitter.com/Juscopojun/status/904805080242651136,fil
dzIQ990,2017-09-05 4:31,0,0,"Mga sugatang sundalo sa Marawi, bibigyan ng libreng byahe sa eroplano - DZIQ Radyo Inquirer 990AM | kbdaenlle","(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",@,#sthash,904804252953985024,https://twitter.com/dzIQ990/status/904804252953985024,fil
garda_ri,2017-09-05 3:51,0,0,Metro_TV selain Marawi (Filipina) ternyata Amerika&Israel akan menjadikan Afrika Selatan sebagai Basis ISIS selanjutnya setelah Suriah !,,@,,904794174653964288,https://twitter.com/garda_ri/status/904794174653964288,id
mark31926,2017-09-05 3:18,103,25,Dugo sa Marawi rhubie27 ALDUBMonAmour ALDUBGROUFIES RiezAlashe ofc_ALDUBHK JennyOcera ALDUB_inARTeam Aldub_ChibaJP,,@ @ @ @ @ @ @ @,#,904785736670470144,https://twitter.com/mark31926/status/904785736670470144,fil
hispanopost,2017-09-05 3:00,1,0,Filipinas anunció muerte del jefe de los yihadistas en Marawi,,,,904781120876806145,https://twitter.com/hispanopost/status/904781120876806145,es
lamiyajamal,2017-09-05 2:56,0,1,ان شاء الله حبي,"(['Oman'], Location((25.22789295, 55.1766685145, 0.0)))",,,904780253607886850,https://twitter.com/lamiyajamal/status/904780253607886850,ar
PROLENESmith,2017-09-05 2:45,0,0,RT RamzRouz: RT Bonsai143: Sino kya nagsbe ng gnyan sarap itap0n s marawi PushAwardsMayWardshttps://,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@ @,#,904777466748784640,https://twitter.com/PROLENESmith/status/904777466748784640,fil
Bonsai143,2017-09-05 2:44,3,1,Sino kya nagsbe ng gnyan sarap itap0n s marawi PushAwardsMayWardshttps://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,904777186560925696,https://twitter.com/Bonsai143/status/904777186560925696,fil
citheak,2017-09-05 2:37,0,0,Bismillah. Goodluck sa mga taga Ibn Siena na papasok bukas. Siyap'n kano o Allah san sa marawi. Specially ko mga...,,,,904775345143914496,https://twitter.com/citheak/status/904775345143914496,fil
bdsaguing,2017-09-05 2:18,0,0,Assault on high in Marawi: via ABSCBNNews,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",@,,904770584239894529,https://twitter.com/bdsaguing/status/904770584239894529,fil
bob_bay,2017-09-05 2:09,0,0,"Yth. Bapak PANGLIMA Saran saya, agar tidak melibatkan TNI/POLRI ikut Operasi di Marawi Konsenlah di RUMAH"" sendiri JANGAN LENGAH !! 0""","(['#INDONESIA #08171945'], Location((-8.1153337, 115.1083287, 0.0)))",,#,904768350747738112,https://twitter.com/bob_bay/status/904768350747738112,id
JakartaGreater,2017-09-05 2:01,0,0,"Kota Marawi - Tentara Filipina, yang berperang melawan pemberontak sekutu ISIS di kota Selatan, mengalami...","(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,904766320130043904,https://twitter.com/JakartaGreater/status/904766320130043904,id
Balitaph,2017-09-05 2:01,0,0,LP sinisisi na naman sa Marawi crisis,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,904766314002178048,https://twitter.com/Balitaph/status/904766314002178048,fil
marawi_93,2017-09-05 1:50,0,2,العيد الجاي اخذك معنا ان شاء الله,"(['Muscat', ' Oman'], Location((18.3717337, -72.2862809, 0.0)))",,,904763557295919104,https://twitter.com/marawi_93/status/904763557295919104,ar
dzrhnews,2017-09-05 1:28,0,0,"Teacher sa Marawi, pinakahuling biktima ng ligaw na bala, sugatan | via RH19 Jun Dimacutac RapidoHatawBalita","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,904757955068780545,https://twitter.com/dzrhnews/status/904757955068780545,fil
Hambali_69,2017-09-05 1:17,3,1,"sngketa laut LCS, marawi,gesekan2 Ind vs Mal, hingga Rohingnya,mguatkan dugaan 'ada' yg ingin jdkan kwsan ini spot konflik br stlah timteng","(['Gunung galunggung'], Location((-7.25, 108.05, 0.0)))",,,904755280042328065,https://twitter.com/Hambali_69/status/904755280042328065,id
Ivan226622,2017-09-05 1:14,0,0,"Assault on high in Marawi MarawiClash — ABS-CBN News (ABSCBNNews) September 4, 2017",,,#,904754528880340992,https://twitter.com/Ivan226622/status/904754528880340992,fil
FreestoneReborn,2017-09-05 1:05,0,0,"Dan sah2 jg misalnya punoy bantai insurgent marawi, or myanmar bantai insurgent bengali. Tinggal persistensi dan konsistensi aja yg menang.",,,,904752337146675200,https://twitter.com/FreestoneReborn/status/904752337146675200,id
FreestoneReborn,2017-09-05 1:04,0,1,"But since kemerdekaam itu adalah hak segala bangsa, jadi sah2 aja sih uclim marawi dan uclim bengali untuk merdeka.",,,,904751979884191744,https://twitter.com/FreestoneReborn/status/904751979884191744,id
FELDart,2017-09-05 1:03,0,0,Die neue Front des IS in Marawi / Süd- Philippinen FAZplus via faznet,"(['planet earth'], Location((47.5044752, 19.1251107, 0.0)))",@,# # #,904751818806358017,https://twitter.com/FELDart/status/904751818806358017,de
MalayaNewsPH,2017-09-05 1:00,0,0,NAKAKAGULAT NA BALITA ! MARAWI UPDATE - WAR ZONE SA MARAWI CITY IPINAKITA PANOORIN: via YouTube,,@,,904751050703429634,https://twitter.com/MalayaNewsPH/status/904751050703429634,fil
MalayaNewsPH,2017-09-05 1:00,0,0,I added a video to a YouTube playlist NAKAKAGULAT NA BALITA ! MARAWI UPDATE - WAR ZONE SA MARAWI CITY,,@,,904750948614115328,https://twitter.com/MalayaNewsPH/status/904750948614115328,fil
pauwiehalili,2017-09-05 0:48,0,1,"Tapang mo talaga,dapat ikaw Ang isabak sa gerra fight to marawi ba.","(['7', '107 island'], Location((42.48691275, 1.60700011403, 0.0)))",,,904747940547145728,https://twitter.com/pauwiehalili/status/904747940547145728,fil
irwantoros,2017-09-05 0:43,0,0,"saya berharap khalayak melihat kasus rohingnya, isis, nuklir korut, marawi, dll berpijak atas dasar kemanusiaan bukan dgn busur lain","(['Nusantara'], Location((-4.5248666, 129.8979368, 0.0)))",,,904746809813213184,https://twitter.com/irwantoros/status/904746809813213184,id
FreestoneReborn,2017-09-05 0:34,0,0,Clim klen nggak protes juga genocide filipina sama sodara seukhuwah klen di marawi?? SaveMarawi,,,#,904744389263499264,https://twitter.com/FreestoneReborn/status/904744389263499264,id
kjlorenzana,2017-09-05 0:14,0,0,Hala di kona marawi yung palabas sa TV di parin ako tapos sa miniature ko,"(['hi', ' make someone feel special'], Location((21.2160437, -157.975203, 0.0)))",,,904739557156937732,https://twitter.com/kjlorenzana/status/904739557156937732,fil
DZMMTeleFeed,2017-09-05 0:10,0,0,"Pagtatayo ng Marawi transitional shelters, sa Sept. 8 na",,,,904738326262845440,https://twitter.com/DZMMTeleFeed/status/904738326262845440,fil
ainaabaraga,2017-09-05 0:05,0,0,Ipatapon na sa marawi ya,,,,904737182937563136,https://twitter.com/ainaabaraga/status/904737182937563136,fil
