egdsgn,2017-08-24 23:58,0,0,PNP headquarters sa Marawi City,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
itslifenaj,2017-08-24 14:53,0,0,Sus -____- kaning pulisa ni ipadala ug marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,ceb
glenjuego,2017-08-24 14:48,4,14,Kinumpirma ng na nabawi na ng militar ang Marawi Police station na kinubkob ng Maute-ISIS group.,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",@TeamAFP @dzbb,,900610870572482560,https://twitter.com/glenjuego/status/900610870572482560,fil
KatherineImson,2017-08-24 14:21,0,0,Zia Alonto-Adiong on Grand Mosque recovery | it brings back our strength and hope na sana matapos na ang gulo dito sa Marawi C,,@News5AKSYON,,900604034310053888,https://twitter.com/KatherineImson/status/900604034310053888,fil
leechanJt,2017-08-24 14:20,0,0,Esang De Torres - Awit Sa Marawi (Official Lyric Video) . G6j2g&feature=share …,"(['Kumamoto-shi', ' Kumamoto'], Location((32.7833323, 130.7333361, 0.0)))",,,900603758542901248,https://twitter.com/leechanJt/status/900603758542901248,fil
PTVisMin,2017-08-24 14:20,0,0,: Headquarters ng PNP sa Marawi City,,,,,,fil
hunterei,2017-08-24 14:16,0,2,Si nga eh may gana pang kantahin sa marawi yng lyrics na sana'y pag-ibig na lang ang isipin,,,,,,fil
jayvee16_98,2017-08-24 14:08,0,0,sa marawi ?,,,,900600748488114176,https://twitter.com/jayvee16_98/status/900600748488114176,fil
222_alizz,2017-08-24 14:05,0,0,الخلفيه تذبح,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",,,900599919815348224,https://twitter.com/222_alizz/status/900599919815348224,ar
1MillionPHL,2017-08-24 14:05,0,0,The very latest news and videos updated every hour (BT: Sundalong galing sa Marawi,,,,,,fil
8trimedia,2017-08-24 13:57,0,0,DATING INOKUPANG GRAND MOSQUE NG MAUTE SA MARAWI CITY,"(['Manila Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
ali445566aa,2017-08-24 13:53,0,0,لآ تندم عَلى نيّة صادقة مٓـنّحتهآ ذآت يۆم لأحد لم يُقدرهآ ،، بل إفتخر أنك گنت و مآزلت إنسانًا يحمل قلبًا من ذهب . ........,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",,# #,900596978261913602,https://twitter.com/ali445566aa/status/900596978261913602,ar
vq5iH88Mw413qWy,2017-08-24 13:41,0,0,فظيييييييع,"(['\xd8\xb1\xd9\x88\xd9\x85\xd8\xa7\xc2\xa0\xf0\x9f\x92\x94\xd8\xa7\xd9\x8a\xd8\xb7\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7'], Location((41.8933203, 12.4829321, 0.0)))",,,900593934417764352,https://twitter.com/vq5iH88Mw413qWy/status/900593934417764352,ps
Sh_____d,2017-08-24 13:40,3,8,احبك.بـ عدد انفاسك ودقات قلبك يا أطيب اخت واجمل وأحلى صديقه,,,,900593758240223233,https://twitter.com/Sh_____d/status/900593758240223233,ar
AspirasiPerdana,2017-08-24 13:32,0,0,Mahmud Hidup Semula,,,,,,ms
DZMMTeleRadyo,2017-08-24 13:22,2,6,Grand mosque na dating inokupa ng Maute sa Marawi City,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,fil
dzrhnews,2017-08-24 13:20,0,1,Sundalong naka-assign sa Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
dzrhnews,2017-08-24 13:18,0,0,Ilang mosque sa Marawi City,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
edsssssssss,2017-08-24 13:15,2,1,Puro kasi war on drugs eh yung war in marawi nga di nila matapos tapos. https:// u s/900528098289909760 …,"(['Hong Kong'], Location((22.2793278, 114.1628131, 0.0)))",,,900587319698145280,https://twitter.com/edsssssssss/status/900587319698145280,fil
heynairing,2017-08-24 13:13,0,0,Papuntang marantao ah. Sa Boundary ng marawi,"(['022016'], Location((44.4366968167, 26.1444547111, 0.0)))",,,900586772974845952,https://twitter.com/heynairing/status/900586772974845952,fil
aliciaquijano_,2017-08-24 13:07,0,3,Yung ganitong lalaki cancer sa lipunan,"(['North'], Location((-26.1347819, 25.6546729, 0.0)))",,,,,fil
dzIQ990,2017-08-24 13:05,2,1,Sundalong nakipagbakbakan sa marawi patay matapos makabarilan ang mga pulis sa Zamboanga del sur |,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",@chonayu1,,900584729207910400,https://twitter.com/dzIQ990/status/900584729207910400,fil
beritaenam,2017-08-24 12:51,0,0,ISIS Minta Anggotanya di Indonesia Perang Suci di Marawi http:// c lewat,"(['Jakarta', ' Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",@po_st,,900581201894715392,https://twitter.com/beritaenam/status/900581201894715392,id
dominicmangubat,2017-08-24 12:50,0,8,wtf yung sundalo na galing marawi na binaril ng mga pulis kasi napagkamalan pucha this is getting out of control,,,,900581058667622400,https://twitter.com/dominicmangubat/status/900581058667622400,fil
dorrenville,2017-08-24 12:50,0,0,News headline: Sundalong galing sa marawi,"(['MNL'], Location((14.5121499, 121.022046716, 0.0)))",,,,,fil
michelle_oliva,2017-08-24 12:46,0,0,Must Watch: MARAWI EX MAYOR ITINURO SI BAM AQUINO AT TRILLANES ANG UTAK SA PANGGUGULO NG MAUTE GROUP SA MARAWI http://,,,,900580142027821057,https://twitter.com/michelle_oliva/status/900580142027821057,fil
sofiajanaso,2017-08-24 12:40,0,0,Marawi,,,,,,fil
W8R6qTLtk3Q9qhz,2017-08-24 12:39,0,0,كيووووووت,,,,900578299331698688,https://twitter.com/W8R6qTLtk3Q9qhz/status/900578299331698688,ps
SuaraPembaruan,2017-08-24 12:28,0,0,ISIS Marawi Ajak Milisi Indonesia Bergabung http:// U,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,900575494181015552,https://twitter.com/SuaraPembaruan/status/900575494181015552,id
MuslimLifeID,2017-08-24 12:23,0,0,ISIS Minta Anggotanya di Indonesia 'Perang Suci' di Marawi - http:// muslimlife.com : http:// /isis-minta-anggotanya-di-indonesia-perang-suci-di-marawi.WZ5VVA80-Ao.twitter …,"(['Jakarta', ' Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,#,9.01E+17,https://twitter.com/MuslimLifeID/status/900574184937472000,id
RhomaIhrama,2017-08-24 12:22,0,0,Video Terbaru ISIS Marawi Ajak Militan Indonesia Menambah Personil bukan Bergabung Kelesssssssssssssssssssssssssssssssssssssssss,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,900574109502808064,https://twitter.com/RhomaIhrama/status/900574109502808064,id
Jesz_84,2017-08-24 12:17,0,0,"I added a video to a playlist http:// Perfect"" by Sam Mangubat |Awit Para Sa Marawi""","(['Singapore via Philippines ;)'], Location((14.4848385, 121.0232423, 0.0)))",@YouTube,,900572643069493248,https://twitter.com/Jesz_84/status/900572643069493248,fil
dzrhnews,2017-08-24 12:15,0,0,Ilan pang 'mosque' sa Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
zandrauydioknoo,2017-08-24 12:11,0,0,dun sa marawi,"(['Lucena', 'Quezon'], Location((37.4091334, -4.4860128, 0.0)))",@yourkieleagles,,900571323189018624,https://twitter.com/zandrauydioknoo/status/900571323189018624,fil
Beritasatu,2017-08-24 12:09,4,2,Video Terbaru ISIS Marawi Ajak Militan Indonesia Bergabung http://,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,900570837115314176,https://twitter.com/Beritasatu/status/900570837115314176,id
dwiz882,2017-08-24 12:00,0,0,Ilang mosque o Masjid sa Marawi City na pinagkukutaan ng mga terorista,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,,,,fil
SandyCabe1,2017-08-24 11:26,0,0,Sa marawi kayo mag ingay harapin nyo ang mga maute ..matapang kayo diba damayan nyo mga taga marawi galing sa taong bayan pinapaaral sa inyo,,,,900559933086646272,https://twitter.com/SandyCabe1/status/900559933086646272,fil
Nemezida67,2017-08-24 11:23,0,1,Philippine Army Captures Marawi Police Station https:// u с помощью,,@southfronteng,,900559241748127745,https://twitter.com/Nemezida67/status/900559241748127745,ru
NewsRmn,2017-08-24 11:18,0,0,Sundalo na galing bakbakan sa Marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
PamaRandy,2017-08-24 11:03,3,1,Tama! Wala ka sa marawi na kailangang makipaglaban! Hahahahaha! 8,"(['Quezon City', ' National Capital'], Location((14.6509905, 121.0486155, 0.0)))",,#PushAwardsMayWards,9.01E+17,https://twitter.com/PamaRandy/status/900554242703872000,fil
sityashapaudac,2017-08-24 11:01,0,0,Nakakamiss ang Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900553635569872896,https://twitter.com/sityashapaudac/status/900553635569872896,fil
mirsantill,2017-08-24 11:00,0,0,KAWAWA NAMAN ITONG SUNDALO GALING SA BAKBAKAN SA UUWI SA PAMILYA NIA NALIGAW. NA ATA TO... http://,"(['manila'], Location((14.5906216, 120.9799696, 0.0)))",,#MARAWI #WARSHOCK,900553358595035137,https://twitter.com/mirsantill/status/900553358595035137,fil
JhomlieMunch26,2017-08-24 10:59,0,0,Mga pulis naman sana ipadala sa marawi . http://,,,,900553163308138496,https://twitter.com/JhomlieMunch26/status/900553163308138496,fil
jdcanlas,2017-08-24 10:50,0,0,marawi na teh,,,,900550881476661248,https://twitter.com/jdcanlas/status/900550881476661248,fil
ColtliqEkajaya,2017-08-24 10:48,0,0,ISIS Minta Anggotanya di Indonesia 'Perang Suci' di Marawi https://,"(['Malang', ' Jawa Timur'], Location((-7.9771206, 112.6340291, 0.0)))",,,900550233830170625,https://twitter.com/ColtliqEkajaya/status/900550233830170625,id
BERITAMediaCorp,2017-08-24 10:34,0,0,Video ISIS Marawi 'sangat berbahaya',"(['Mediacorp', ' 1 Stars Avenue'], Location((1.29543415, 103.792257601, 0.0)))",,,,,id
chirp_sitto,2017-08-24 10:16,0,0,ISIS di Marawi gak mungkin dapat pasokan senjata canggih (semudah) seperti di Suriah dll.,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,900542344058912768,https://twitter.com/chirp_sitto/status/900542344058912768,id
pmaleihabcandao,2017-08-24 10:09,0,2,Lumad,,,,,,ceb
chirp_sitto,2017-08-24 9:59,0,0,Daftar 'Perang Suci' di Marawi = SETOR NYOWO. Cepat Atau Lambat Pasti Ditumpas Habis. http://,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,900537970939224064,https://twitter.com/chirp_sitto/status/900537970939224064,id
cj_ventanilla,2017-08-24 9:58,0,0,tangna yung mga walang bilang pinapadala sa marawi yun,,,,900537709583769600,https://twitter.com/cj_ventanilla/status/900537709583769600,fil
_QuePasaChica_,2017-08-24 9:49,2,3,Dear Bato and PNP: Since atat na atat mga kapulisan nyo ang bumaril ng taong walang kalaban laban,"(['Hong Kong'], Location((22.2793278, 114.1628131, 0.0)))",,,,,fil
suaradotcom,2017-08-24 9:47,0,0,ISIS Minta Anggotanya di Indonesia 'Perang Suci' di Marawi http://,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,900534977372315649,https://twitter.com/suaradotcom/status/900534977372315649,id
imrezell,2017-08-24 9:45,3,0,Mangadto tas marawi madam ibala tikas canyon haha . MAYWARD BookAndMovieSOON https:// us/900533918545440772 …,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900534419391365120,https://twitter.com/imrezell/status/900534419391365120,ceb
sycipft,2017-08-24 9:40,0,0,Must Watch: MARAWI EX MAYOR ITINURO SI BAM AQUINO AT TRILLANES ANG UTAK SA PANGGUGULO NG MAUTE GROUP SA MARAWI . atch-marawi-ex-mayor-itinuro-si.html.WZ4ubR0nzss.twitter …,,,#,900533113884876800,https://twitter.com/sycipft/status/900533113884876800,fil
notbasia,2017-08-24 9:34,1,0,Bagong Araw,,,,,,fil
almkha22,2017-08-24 9:29,0,0,_q8,,@Sahoma_q8 @RHF_M8 @marawi @ab44_r @ahlam_smsm0 @ASDFGHA_34 @a_m_m12 @RAZANALI119 @Mernaandghadh @NorrahQ8 @ahsaa00 @UupP0lArfdMKmfv,,900530405350277121,https://twitter.com/almkha22/status/900530405350277121,vi
JANMaglasang,2017-08-24 9:29,0,0,WATCH: Nakasibilyang sundalo na pauwi na sana galing Marawi,,,,,,fil
msjhajohnson,2017-08-24 9:21,0,0,Wawa naman si sarge mukang d na kinaya angbtesion sa marawi nadisgrasya pa! My prayers and deepest condolences to... http://,"(['Trece Martires City', ' Cavite'], Location((14.6649503, 121.0835242, 0.0)))",,,900528559864901634,https://twitter.com/msjhajohnson/status/900528559864901634,fil
joycem09,2017-08-24 9:20,0,0,help marawi and our soldiers if you really concern for our country at sa ating mga kabataan,,@LiberalPH @PDPLABAN,#bangonmarawi,900528128384040964,https://twitter.com/joycem09/status/900528128384040964,fil
joycem09,2017-08-24 9:16,0,0,Lahat na lang namumulitika,,,,,,fil
marawi_5,2017-08-24 9:08,0,0,أنا لست على مايرام لذلك اترك لي رساله تجعلني ابتسم https:// Marawiy12.sarahah.com,,,,900525212437016576,https://twitter.com/marawi_5/status/900525212437016576,ar
MattRaider5,2017-08-24 9:06,0,0,Sobra na ang mga pulis ng Aurora,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
babychubb,2017-08-24 9:01,0,1,makabalik na kami sa bahay namin sa Marawi ?,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,#PwedeBang,900523329248940032,https://twitter.com/babychubb/status/900523329248940032,fil
kylemgsn,2017-08-24 8:56,0,0,bombahan sa marawi,,,,900522194521866240,https://twitter.com/kylemgsn/status/900522194521866240,ceb
SanilynR,2017-08-24 8:44,0,0,GALING SA BAKBAKAN SA MARAWI .. :'( :'( R.I.P SAYO SIR.. http:// 2,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900519135783690240,https://twitter.com/SanilynR/status/900519135783690240,fil
usclabdog,2017-08-24 8:36,0,0,Nakaligtas sa Marawi,"(['LA LA la LANd'], Location((-29.8508963, 27.5389569845, 0.0)))",,,,,fil
Zain78383,2017-08-24 8:36,0,0,فك يو,"(['\xd9\x85\xd8\xad\xd8\xa7\xd9\x81\xd8\xb8\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x82\xd8\xa8\xd8\xa9', ' \xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd8\xaf\xd9\x86\xd9\x8a'], Location((25.9299968, 56.3900005, 0.0)))",,,900517094390935553,https://twitter.com/Zain78383/status/900517094390935553,ar
usclabdog,2017-08-24 8:27,0,0,Veteran nang Marawi,"(['LA LA la LANd'], Location((-29.8508963, 27.5389569845, 0.0)))",,,,,fil
iAMswitsuplaDta,2017-08-24 7:55,0,0,.,"(['PHILIPPINES'], Location((12.7503486, 122.7312101, 0.0)))",,,,,und
Soulhiphop8090,2017-08-24 7:53,0,0,Los lugares mas horribles del mundo: Marawi . . Nlwv8&feature=share …,"(['New York', ' USA'], Location((40.7306458, -73.9866136, 0.0)))",,,900506383505870851,https://twitter.com/Soulhiphop8090/status/900506383505870851,es
jowana1239912,2017-08-24 7:49,0,0,وين وجها اصلا هههههههه,,,,900505384594677760,https://twitter.com/jowana1239912/status/900505384594677760,ar
W8R6qTLtk3Q9qhz,2017-08-24 7:49,0,0,عثل,,,,900505346418118656,https://twitter.com/W8R6qTLtk3Q9qhz/status/900505346418118656,ar
leekrispy,2017-08-24 7:47,0,0,ano masasabi ninyo dito,"(['National Capital Region', ' Repub'], Location((14.5736108, 121.0329706, 0.0)))",,,,,fil
0hanin0,2017-08-24 7:47,0,1,انا ما احوووب اجامل لو كلامج صج روعه ليه ما تسوي رتويت ما احووب التسليك,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",,,900504723538812929,https://twitter.com/0hanin0/status/900504723538812929,ar
marawi_22,2017-08-24 7:46,0,0,اسمك ما يمر بسلام ، لازم معاه فزّة قلب,,,,900504465693868037,https://twitter.com/marawi_22/status/900504465693868037,ar
themanonyou,2017-08-24 7:44,0,0,جميله,,,,900504170637254656,https://twitter.com/themanonyou/status/900504170637254656,ar
NaserAboMansor1,2017-08-24 7:44,0,0,جسمها جميل,"(['Cairo', ' Egypt'], Location((37.0057958, -89.1772449, 0.0)))",,,900504136717926402,https://twitter.com/NaserAboMansor1/status/900504136717926402,ar
0hanin0,2017-08-24 7:34,1,3,عاااكسسه نورج قلببوو,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",,,900501409761767425,https://twitter.com/0hanin0/status/900501409761767425,ar
SahsEssh,2017-08-24 7:32,0,0,3 months na ang Marawi Seige! And still-- wala parin ang PEACE sa Marawi,,,,900501088993804288,https://twitter.com/SahsEssh/status/900501088993804288,fil
dzrhnews,2017-08-24 7:32,0,3,Police station sa Marawi City na inokupa ng Maute,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,sn
marawi_22,2017-08-24 7:25,0,0,على سبيل الغيره : انت لو كنت لحن ، لـ عزفتك على جمهور أصم,,,,900499222981730304,https://twitter.com/marawi_22/status/900499222981730304,ar
atoshi20250,2017-08-24 7:24,0,0,اتخبل,,,,900499057994498049,https://twitter.com/atoshi20250/status/900499057994498049,ar
0hanin0,2017-08-24 7:23,7,7,_q8 كيف عرفت أنكِ لم تعُد تحبني لأني لا أبتسم حين أقرأ منك شيء,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",@marawi,,900498789148053504,https://twitter.com/0hanin0/status/900498789148053504,ar
khalid990000099,2017-08-24 7:18,0,0,اذا هذي صديقتك اخطبيها لي تكفين,"(['\xd8\xa7\xd9\x84\xd8\xae\xd8\xa8\xd8\xb1', ' \xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a'], Location((26.3039999, 50.1960237, 0.0)))",,,900497472702861313,https://twitter.com/khalid990000099/status/900497472702861313,ar
0hanin0,2017-08-24 7:17,10,7,_q8 إستحاله اضيعك مني و اخلي شخص ثاني يحس ب فرحتك و حزنك و تعبك إستحاله تضيع من يدي إنت لي من اولك ل اخرك إتفقنا,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",@marawi,,900497181924261888,https://twitter.com/0hanin0/status/900497181924261888,ar
marawi_22,2017-08-24 7:13,0,0,أنت الجميع ﻭكل من ‌أحتل‌ قلبي .,,,,900496144341585925,https://twitter.com/marawi_22/status/900496144341585925,ar
slavesamy1,2017-08-24 7:09,0,0,قمر....مرتبطه؟؟,,,,900495145325428737,https://twitter.com/slavesamy1/status/900495145325428737,ar
lbhFZxsOfqZtAA1,2017-08-24 7:07,0,0,يخليكو لبعض,"(['\xd8\xaf\xd8\xa8\xd9\x89'], Location((27.351435, 35.6908067, 0.0)))",,,900494684052750336,https://twitter.com/lbhFZxsOfqZtAA1/status/900494684052750336,sd
marawi_22,2017-08-24 7:00,0,0,أقرف لحظه تمُر عليك لما يقولك قلبك كنت حاسّ بهالخيبه شفت؟.,,,,900493042255319040,https://twitter.com/marawi_22/status/900493042255319040,ar
dzbb,2017-08-24 6:59,1,5,Pagkakabawi ng militar sa police station sa Marawi City,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
dwiz882,2017-08-24 6:58,0,0,Himpilan ng pulisya sa Marawi City,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,,,,fil
abomazn54,2017-08-24 6:45,0,0,وش المقابل,"(['\xd8\xac\xd8\xaf\xd8\xa9', ' \xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((21.5822247, 39.1640396, 0.0)))",,,900489130660044800,https://twitter.com/abomazn54/status/900489130660044800,ar
Mhelanesha_07,2017-08-24 6:15,0,0,Pkinggan po natin pra maintindihan kung bakit ba nila ginawa ito sa MArawi . http://,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900481722835283969,https://twitter.com/Mhelanesha_07/status/900481722835283969,fil
DZMMTeleFeed,2017-08-24 6:00,0,0,Anim na bangkay,,,,,,fil
oliverrainier,2017-08-24 5:53,0,0,Pwede sa Marawi .after ng giulo..,"(['New South Wales', ' Australia'], Location((-31.8759835, 147.2869493, 0.0)))",,,900476107136262144,https://twitter.com/oliverrainier/status/900476107136262144,fil
marawi_22,2017-08-24 5:52,0,0,كل اللي كنت اكبر منهم فجأه صاروا اكبر مني واطول مني واعرض مني.,,,,900475818564079616,https://twitter.com/marawi_22/status/900475818564079616,ar
marawi_q8,2017-08-24 5:50,8,11,منوه كفو يعطيني حساب فيه 4k اريده,,,,900475383505670144,https://twitter.com/marawi_q8/status/900475383505670144,ar
DZMMTeleFeed,2017-08-24 5:50,0,0,Militar,,,,,,es
abomazn54,2017-08-24 5:39,0,0,بدون بكيني,"(['\xd8\xac\xd8\xaf\xd8\xa9', ' \xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((21.5822247, 39.1640396, 0.0)))",,,900472694424121348,https://twitter.com/abomazn54/status/900472694424121348,ar
marawi_q8,2017-08-24 5:38,3,4,ـ๘✾ৡ سأعانقك بلارفق أوجعك بلارفق لاتخافي من قساوه هذه اللحضه ولكن أناتهشمت بشتياقي لك وأريد أن أسترد عافيتي لأنك صحتي ودوائي,,@Sahoma_q8,,900472369315229696,https://twitter.com/marawi_q8/status/900472369315229696,ar
aldousokyrefaa1,2017-08-24 5:37,0,0,روعاتك,"(['\xd9\x85\xd8\xb5\xd8\xb1/\xd8\xa7\xd9\x84\xd8\xa7\xd9\x82\xd8\xb5\xd8\xb1/\xd8\xa7\xd8\xb3\xd9\x88\xd8\xa7\xd9\x86/'], Location((24.0875, 32.898889, 0.0)))",,,900472096505155585,https://twitter.com/aldousokyrefaa1/status/900472096505155585,ar
almkha22,2017-08-24 5:36,0,0,دوم الضحكه,,,,900471894209638401,https://twitter.com/almkha22/status/900471894209638401,ar
marawi_q8,2017-08-24 5:36,1,0,ههههههه,,,,900471755671838720,https://twitter.com/marawi_q8/status/900471755671838720,ar
marawi_q8,2017-08-24 5:34,2,1,ما بين قلبي ، والعمر ، وامنياته يكفيني إني ما تمنيت غيرك .,,@Sahoma_q8,,900471423759785984,https://twitter.com/marawi_q8/status/900471423759785984,ar
almkha22,2017-08-24 5:34,0,0,بلاش احراج,,,,900471400271679489,https://twitter.com/almkha22/status/900471400271679489,ar
mm18829,2017-08-24 5:33,0,0,هههههه,,,,900471132385665025,https://twitter.com/mm18829/status/900471132385665025,ar
marawi_q8,2017-08-24 5:33,1,0,وانه تردي عليه رغودة,,,,900471074638483456,https://twitter.com/marawi_q8/status/900471074638483456,ar
notiviralized,2017-08-24 5:30,0,0,Indonesia arrestos presunto reclutador de Marawi asedio http:// stos-presunto-reclutador-de-marawi-asedio/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …,,,,900470287812243456,https://twitter.com/notiviralized/status/900470287812243456,es
marawi_q8,2017-08-24 5:29,3,4,مثل ماقالت نوال : هو زحمتي لا فضى بعيني الكون وهو فراغي لا املتى العالم ضجيج 1,,@Sahoma_q8,#,900470197341040640,https://twitter.com/marawi_q8/status/900470197341040640,ar
marawi_q8,2017-08-24 5:29,5,13,1,,,,900470006961623041,https://twitter.com/marawi_q8/status/900470006961623041,und
marawi_q8,2017-08-24 5:26,1,1,ولا منك ماماتي العوده,,,,900469412465168384,https://twitter.com/marawi_q8/status/900469412465168384,ar
Sahoma_q8,2017-08-24 5:26,3,5,فديييتج مراوي الله لا يحرمني منج يا دلوعتي,"(['\xd9\x83\xd9\x8a\xd9\x81\xd8\xa7\xd9\x86', ' \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa'], Location((29.3385681, 47.9618183, 0.0)))",,,900469291774078976,https://twitter.com/Sahoma_q8/status/900469291774078976,ar
marawi_q8,2017-08-24 5:18,0,1,شخبارك نسيت,,,,900467254671888384,https://twitter.com/marawi_q8/status/900467254671888384,ar
Sahoma_q8,2017-08-24 5:17,2,3,خبور شنو هذي بعد ههههه,"(['\xd9\x83\xd9\x8a\xd9\x81\xd8\xa7\xd9\x86', ' \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa'], Location((29.3385681, 47.9618183, 0.0)))",,,900466972793720832,https://twitter.com/Sahoma_q8/status/900466972793720832,ar
marawi_q8,2017-08-24 5:06,2,5,↓˓❁⸀ ، آصوات خلق الله آسمعهآ وتروح آلاانت صوتك يمر السمع وآتنفسه,,,,900464245686628353,https://twitter.com/marawi_q8/status/900464245686628353,ar
marawi_q8,2017-08-24 5:05,1,4,- أنتي ِ‌أجمل‌مالقيتَ ، أنتي ِ كل شي بحياتي . https:// 9 00449024154710016/video/1 …,,@Sahoma_q8,,900464104162414594,https://twitter.com/marawi_q8/status/900464104162414594,ar
marawi_q8,2017-08-24 5:04,0,1,هلا هلا سهومتي خبور,,,,900463695863709698,https://twitter.com/marawi_q8/status/900463695863709698,ar
